gene	degree	betweenness	node_class	n_drugs	drugs	labelled_in_Fig3A
AURKA	58	0.078025255966415	Hub–bottleneck	0		TRUE
RRM2	60	0.06467208817613937	Hub–bottleneck	0		TRUE
BRCA1	42	0.05522945792070923	Hub–bottleneck	0		TRUE
BUB1B	76	0.04815684564467669	Hub–bottleneck	0		TRUE
TOP2A	66	0.0324457544086895	Hub–bottleneck	4	amsacrine;BRD-K47869605;etoposide;valrubicin	TRUE
CDC20	76	0.03013030417709038	Hub–bottleneck	0		TRUE
FN1	26	0.09860664708614209	Bottleneck	0		FALSE
JUN	20	0.06236903240584698	Bottleneck	0		FALSE
PARP1	20	0.05462962484157274	Bottleneck	1	rucaparib	TRUE
BCL2L1	16	0.0527667044156191	Bottleneck	0		FALSE
USP14	12	0.04942558300250001	Bottleneck	0		FALSE
AK2	4	0.04491873409470082	Bottleneck	0		FALSE
ADSL	6	0.04030235208629522	Bottleneck	0		FALSE
CXCR4	16	0.03351513085901225	Bottleneck	0		FALSE
MYD88	8	0.03251460449898016	Bottleneck	0		FALSE
FH	6	0.03197870607598196	Bottleneck	0		FALSE
PARP9	6	0.0310292408119467	Bottleneck	0		FALSE
UCHL1	4	0.03006114608056517	Bottleneck	0		FALSE
FASLG	12	0.02856411745384121	Bottleneck	0		FALSE
BNIP1	6	0.02581803362117231	Bottleneck	0		FALSE
ENO2	10	0.02491717534928056	Bottleneck	0		FALSE
USP1	10	0.02352292211169031	Bottleneck	0		FALSE
