package	version
Biobase	2.68.0
BiocManager	1.30.27
DESeq2	1.48.2
GEOquery	2.76.0
ReactomePA	1.52.0
S4Vectors	0.46.0
STRINGdb	2.20.0
SummarizedExperiment	1.38.1
TCGAbiolinks	2.36.0
biomaRt	2.64.0
clusterProfiler	4.16.0
dplyr	1.1.4
effectsize	1.0.1
forcats	1.0.1
ggplot2	4.0.1
ggraph	2.2.2
ggrepel	0.9.6
here	1.0.2
igraph	2.2.1
limma	3.64.3
lubridate	1.9.4
multiMiR	1.30.0
org.Hs.eg.db	3.21.0
purrr	1.2.0
readr	2.1.6
readxl	1.4.5
rtracklayer	1.68.0
stringr	1.6.0
survival	3.8-3
survminer	0.5.1
tibble	3.3.0
tidygraph	1.3.1
tidyr	1.3.2
tidyverse	2.0.0
tools	4.5.2
uwot	0.2.4
